Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_precaution_0,Symptom_precaution_1,Symptom_precaution_2,Symptom_precaution_3,Symptom_Description
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen, history_of_alcohol_consumption,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
Allergy, shivering, chills, watering_from_eyes,high_fever,headache,apply calamine,cover area with bandage,consult doctor,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Allergy, continuous_sneezing, shivering, watering_from_eyes,high_fever,headache,apply calamine,cover area with bandage,consult doctor,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Allergy, continuous_sneezing, shivering, chills,high_fever,headache,apply calamine,cover area with bandage,consult doctor,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Allergy, continuous_sneezing, shivering, chills,watering_from_eyes,headache,apply calamine,cover area with bandage,consult doctor,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Allergy, continuous_sneezing, chills, watering_from_eyes,high_fever,headache,apply calamine,cover area with bandage,consult doctor,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness, painful_walking,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking,headache,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking,headache,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking,headache,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking,headache,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness,headache,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,switch to loose cloth,take deep breaths,get away from the trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,headache,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,headache,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,headache,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,headache,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,headache,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, fatigue, lethargy, headache,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, fatigue, lethargy, high_fever, headache,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, lethargy, high_fever, headache,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chicken pox,itching, skin_rash, fatigue, high_fever, headache,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, fatigue, cough, high_fever, headache,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, chills, fatigue, cough, headache,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, chills, fatigue, cough, high_fever,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, chills, fatigue, cough, high_fever, headache,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, chills, cough, high_fever, headache,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Common Cold, continuous_sneezing, chills, fatigue, high_fever, headache,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Covid,tiredness, high_fever, loss_of_taste,cough,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid, high_fever, loss_of_taste, cough, tiredness,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid,cough, high_fever, tiredness, loss_of_taste,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid,loss_of_taste, tiredness, high_fever, cough,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid, high_fever, cough, tiredness, loss_of_taste,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid,tiredness, loss_of_smell, high_fever,cough,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid,loss_of_smell, tiredness, high_fever,cough,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid,loss_of_taste, cough, tiredness,high_fever,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Covid, high_fever, tiredness, cough, loss_of_taste,headache,cover mouth,social distancing,wear mask,medication,COVID-19 (Corona Virus) affects different people in different ways. It affects the lungs. Most infected people will develop mild to moderate illness and recover without hospitalization.
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, joint_pain, fatigue, high_fever,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, joint_pain, vomiting, high_fever,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, chills, joint_pain, vomiting, fatigue, high_fever,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, joint_pain, vomiting, fatigue, high_fever,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, vomiting, fatigue, high_fever,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue, skin_rash, chills, joint_pain, vomiting, fatigue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Diabetes, fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
